ID_Destinazione,Citta,Nazione,Descrizione_Turistica
1,Nardò,Italia,Tour tra barocco leccese e le splendide coste ioniche
2,Tokyo,Giappone,Esplorazione della metropoli tra tradizione e quartieri iconici
3,Raccoon City,Stati Uniti,Fuga nei boschi dei Monti Arklay con un brivido di sopravvivenza
4,Napoli,Italia,Viaggio d'oro nel cuore pulsante della Campania
5,Lecce,Italia,Soggiorno nella Firenze del Sud tra arte e cultura
6,Rusty Lake,Paesi Bassi,Ritiro psicologico e misteri sulle rive del lago
7,Gallipoli,Italia,La Perla dello Ionio tra spiagge e movida
8,Roma,Italia,Immersione nella storia millenaria della Capitale
9,Osaka,Giappone,Tour gastronomico e intrattenimento sfrenato nel Kansai
10,Morioh,Giappone,Cittadina bizzarra e tranquilla ideale per un'estate avventurosa
11,Yokohama,Giappone,Vista sulla baia e avventure urbane da veri eroi
12,Otranto,Italia,Il punto più a est d'Italia tra castelli e mare cristallino
13,Veglie,Italia,Autentica esperienza salentina nell'entroterra
14,Milano,Italia,Capitale della moda e del design
15,Venezia,Italia,Romantica gita tra i canali e l'arte lagunare
16,Firenze,Italia,Immersione totale nella culla del Rinascimento
17,Bologna,Italia,Tour culinario e accademico
18,Torino,Italia,Tra piazze sabaude e misteri storici
19,Palermo,Italia,Incrocio di culture e sapori nel cuore del Mediterraneo
20,Genova,Italia,I segreti del porto e i vicoli del centro storico
21,Porto Cesareo,Italia,Spiagge caraibiche e riserve naturali marine
22,Kyoto,Giappone,Pace interiore tra mille templi e giardini zen
23,Parigi,Francia,Fuga romantica all'ombra della Torre Eiffel
24,Londra,Regno Unito,Vibrazioni cosmopolite e storia reale
25,New York,Stati Uniti,Viaggio indimenticabile nella città che non dorme mai
